question_id,level,round,arm,position,status,valid,duration_ms,law_ids,selection_chars_before,selection_chars_after
l1-001-jp,20,1,combined,4,ok,1,52610.214,5,7288,4216
l1-002-jp,20,1,combined,4,ok,1,63224.927,2,10180,5217
l1-003-jp,20,1,combined,4,ok,1,61596.534,1,9238,6242
l1-005-jp,20,1,combined,4,ok,1,69941.384,4,2426,1546
l1-010-us,20,1,combined,4,ok,1,47480.553,2,14100,2578
l1-012-cn,20,1,combined,4,ok,1,39843.809,2,6783,4146
l1-013-cn,20,1,combined,4,ok,1,49174.784,1,6991,4371
l1-018-de,20,1,combined,4,ok,1,62183.382,5,9033,3714
l1-019-de,20,1,combined,4,ok,1,53158.903,3,23400,3735
l1-023-fr,20,1,combined,4,ok,1,57343.454,1,26211,10039
l1-024-fr,20,1,combined,4,ok,1,56316.88,2,17877,6432
l1-025-fr,20,1,combined,4,ok,1,46186.326,2,13199,4235
l1-027-uk,20,1,combined,4,ok,1,66605.191,2,6148,3677
l1-031-ca,20,1,combined,4,ok,1,48841.931,4,9753,5724
l1-032-ca,20,1,combined,4,ok,1,139467.439,1,2328,1327
l1-033-ca,20,1,combined,4,ok,1,64712.949,3,7197,2079
l1-035-ca,20,1,combined,4,ok,1,51588.97,1,9148,4466
l1-036-au,20,1,combined,4,ok,1,39182.696,5,23747,3574
l1-037-au,20,1,combined,4,ok,1,47167.679,2,6135,2823
l1-038-au,20,1,combined,4,ok,1,56390.742,5,27052,5793
l1-039-au,20,1,combined,4,ok,1,42224.595,1,10110,4894
l1-040-au,20,1,combined,4,ok,1,70585.673,3,24374,4680
l1-041-sg,20,1,combined,4,ok,1,96340.023,1,22558,8527
l1-042-sg,20,1,combined,4,ok,1,66574.419,3,18165,6691
l1-044-sg,20,1,combined,4,ok,1,40914.636,3,10069,3178
l1-046-vn,20,1,combined,4,ok,1,36408.648,1,789,525
l1-049-vn,20,1,combined,4,ok,1,34856.57,2,19841,7354
l1-050-vn,20,1,combined,4,ok,1,51831.122,4,11069,5666
l1-051-th,20,1,combined,4,ok,1,45924.77,1,7247,4600
l1-052-th,20,1,combined,4,ok,1,75236.439,1,9447,5478
l1-053-th,20,1,combined,4,ok,1,57084.877,1,12821,8136
l1-054-th,20,1,combined,4,ok,1,47964.479,2,11230,6871
l1-055-th,20,1,combined,4,ok,1,62639.12,2,8940,3102
l1-059-id,20,1,combined,4,ok,1,44429.966,1,11312,6690
l1-060-id,20,1,combined,4,ok,1,57552.36,3,4549,3081
l1-062-my,20,1,combined,4,ok,1,43025.428,1,12785,8316
l1-065-my,20,1,combined,4,ok,1,74269.798,3,8238,3940
l1-068-ph,20,1,combined,4,ok,1,67212.578,1,17211,9658
l1-070-ph,20,1,combined,4,ok,1,30908.331,3,21636,6843
l1-075-in,20,1,combined,4,ok,1,115458.034,1,14522,11454
l1-078-br,20,1,combined,4,ok,1,37355.749,1,3690,1546
l1-081-es,20,1,combined,4,ok,1,45856.205,3,19919,10157
l1-082-es,20,1,combined,4,ok,1,57160.214,5,12552,5945
l1-085-es,20,1,combined,4,ok,1,37093.453,1,6458,2901
l1-091-nl,20,1,combined,4,ok,1,25567.104,0,,
l1-092-nl,20,1,combined,4,ok,1,19669.87,0,,
l1-094-nl,20,1,combined,4,ok,1,22677.753,0,,
l1-095-nl,20,1,combined,4,ok,1,33155.512,0,,
l1-097-nz,20,1,combined,4,ok,1,64055.017,2,11822,4512
l1-098-nz,20,1,combined,4,ok,1,47110.915,1,9519,2127
l2-001-jp-data-rights,20,1,combined,4,ok,1,37524.837,1,6913,4331
l2-002-jp-breach,20,1,combined,4,ok,1,35715.808,3,3106,2112
l2-003-jp-transfer,20,1,combined,4,ok,1,36346.181,2,13808,5496
l2-010-us-worker,20,1,combined,4,ok,1,66333.4,2,15612,5228
l2-013-cn-transfer,20,1,combined,4,ok,1,38606.689,1,12490,6712
l2-017-de-breach,20,1,combined,4,ok,1,27921.576,2,10435,5163
l2-022-fr-breach,20,1,combined,4,ok,1,47171.34,3,14077,5192
l2-024-fr-consumer,20,1,combined,4,ok,1,25173.49,2,18608,6010
l2-026-uk-data-rights,20,1,combined,4,ok,1,33752.16,3,3671,2426
l2-029-uk-consumer,20,1,combined,4,ok,1,51708.129,2,18523,8843
l2-034-ca-consumer,20,1,combined,4,ok,1,34603.277,1,4183,2205
l2-035-ca-worker,20,1,combined,4,ok,1,28797.773,2,12500,4322
l2-036-au-data-rights,20,1,combined,4,ok,1,30074.994,3,13397,4573
l2-038-au-transfer,20,1,combined,4,ok,1,28370.145,2,19625,5758
l2-039-au-consumer,20,1,combined,4,ok,1,35924.758,3,9500,4326
l2-040-au-worker,20,1,combined,4,ok,1,50767.693,2,4057,2770
l2-045-sg-worker,20,1,combined,4,ok,1,24388.423,1,11064,4423
l2-046-vn-data-rights,20,1,combined,4,ok,1,26045.982,2,11420,5942
l2-047-vn-breach,20,1,combined,4,ok,1,38238.405,4,10564,4230
l2-051-th-data-rights,20,1,combined,4,ok,1,34495.136,1,8705,6118
l2-052-th-breach,20,1,combined,4,ok,1,38140.601,2,7599,4614
l2-053-th-transfer,20,1,combined,4,ok,1,46678.229,1,10563,7155
l2-054-th-consumer,20,1,combined,4,ok,1,32985.871,2,5633,2751
l2-055-th-worker,20,1,combined,4,ok,1,22930.587,2,9356,3416
