t_s,orch_kv_pct,orch_running,orch_waiting,orch_queue_time_cum_s,orch_requests_done_cum,orch_preemptions_cum,worker_kv_pct,worker_running,worker_waiting,worker_queue_time_cum_s,worker_requests_done_cum,client_arrivals_cum,client_completions_cum,client_in_flight
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,0,100
1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,0,100
2,20.054,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,0,100
3,20.054,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,0,100
4,32.621,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,0,100
5,27.008,69.0,0.0,0.008,31.0,0.0,0.0,0.0,0.0,0.0,0.0,100,0,100
6,31.382,66.0,0.0,0.013,72.0,0.0,0.0,0.0,0.0,0.0,0.0,103,3,100
7,44.966,117.0,0.0,0.014,75.0,0.0,0.0,0.0,0.0,0.0,0.0,109,9,100
8,51.507,121.0,0.0,0.014,77.0,0.0,0.0,0.0,0.0,0.0,0.0,110,10,100
9,55.85,121.0,0.0,0.014,84.0,0.0,0.0,0.0,0.0,0.0,0.0,110,10,100
10,53.331,110.0,0.0,0.021,108.0,0.0,0.0,0.0,0.0,0.0,0.0,110,10,100
11,62.753,130.0,0.0,0.021,111.0,0.0,0.0,0.0,0.0,0.0,0.0,111,11,100
12,62.753,130.0,0.0,0.021,111.0,0.0,0.427,2.0,0.0,0.0,0.0,112,12,100
13,71.309,142.0,0.0,0.021,115.0,0.0,0.515,4.0,2.0,0.0,0.0,112,12,100
14,74.312,132.0,0.0,0.021,127.0,0.0,0.538,4.0,9.0,0.0,2.0,112,12,100
15,73.879,125.0,0.0,0.021,135.0,0.0,0.594,4.0,18.0,1.274,3.0,112,12,100
16,83.846,126.0,0.0,0.021,136.0,0.0,0.521,4.0,19.0,1.987,6.0,113,13,100
17,88.532,126.0,0.0,0.021,137.0,0.0,0.502,4.0,19.0,7.644,9.0,113,13,100
18,93.782,124.0,0.0,0.021,139.0,0.0,0.578,4.0,19.0,7.644,9.0,113,13,100
19,84.541,105.0,3.0,0.021,158.0,0.0,0.581,4.0,19.0,9.48,10.0,113,13,100
20,84.541,105.0,3.0,0.021,158.0,0.0,0.581,4.0,19.0,9.48,10.0,113,13,100
21,77.759,100.0,3.0,0.021,163.0,0.0,0.539,4.0,19.0,15.465,12.0,113,13,100
22,96.171,101.0,7.0,0.021,163.0,1.0,0.58,4.0,19.0,20.491,13.0,113,13,100
23,77.688,80.0,11.0,0.022,187.0,1.0,0.535,4.0,18.0,30.202,15.0,113,13,100
24,69.777,69.0,11.0,0.022,198.0,1.0,0.541,4.0,17.0,45.304,17.0,113,13,100
25,71.783,59.0,13.0,0.022,210.0,1.0,0.582,4.0,16.0,54.108,18.0,113,13,100
26,96.916,57.0,12.0,0.022,213.0,1.0,0.618,4.0,15.0,63.951,19.0,113,13,100
27,98.68,57.0,11.0,0.022,214.0,1.0,0.645,4.0,16.0,74.472,20.0,113,13,100
28,98.68,57.0,11.0,0.022,214.0,1.0,0.645,4.0,16.0,74.472,20.0,113,13,100
29,94.699,37.0,22.0,0.023,236.0,1.0,0.601,4.0,15.0,94.861,22.0,113,13,100
30,94.699,37.0,22.0,0.023,236.0,1.0,0.643,4.0,14.0,108.031,23.0,113,13,100
31,94.336,34.0,21.0,0.023,240.0,1.0,0.671,4.0,12.0,136.255,25.0,113,13,100
32,92.422,35.0,23.0,0.023,241.0,1.0,0.668,3.0,16.0,149.509,26.0,113,13,100
33,99.355,30.0,32.0,0.023,247.0,1.0,0.797,4.0,16.0,149.509,26.0,113,13,100
34,88.098,30.0,31.0,0.023,248.0,1.0,0.859,4.0,16.0,149.509,26.0,113,13,100
