t_s,orch_kv_pct,orch_running,orch_waiting,orch_queue_time_cum_s,orch_requests_done_cum,orch_preemptions_cum,worker_kv_pct,worker_running,worker_waiting,worker_queue_time_cum_s,worker_requests_done_cum,client_arrivals_cum,client_completions_cum,client_in_flight
0,14.391,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1,18.341,19.0,0.0,0.001,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2,15.862,19.0,0.0,0.001,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
3,14.522,22.0,0.0,0.002,27.0,0.0,0.43,2.0,0.0,0.0,0.0,0,0,0
4,15.388,21.0,0.0,0.002,28.0,0.0,0.529,4.0,2.0,0.0,0.0,0,0,0
5,17.726,21.0,0.0,0.002,28.0,0.0,0.543,4.0,2.0,0.0,2.0,0,0,0
6,12.99,11.0,0.0,0.002,38.0,0.0,0.559,4.0,1.0,2.218,5.0,0,0,0
7,29.527,10.0,0.0,0.002,42.0,0.0,0.697,4.0,2.0,4.348,8.0,0,0,0
8,49.279,16.0,0.0,0.002,42.0,0.0,0.763,4.0,2.0,4.348,8.0,0,0,0
9,49.279,16.0,0.0,0.002,42.0,0.0,0.763,4.0,2.0,4.348,8.0,0,0,0
10,58.783,18.0,0.0,0.002,43.0,0.0,0.805,4.0,2.0,4.348,9.0,0,0,0
11,64.456,20.0,0.0,0.002,44.0,0.0,0.867,4.0,2.0,4.348,9.0,0,0,0
12,67.238,17.0,0.0,0.002,48.0,0.0,0.755,4.0,1.0,6.653,11.0,0,0,0
13,77.285,21.0,0.0,0.002,49.0,0.0,0.8,4.0,0.0,7.063,12.0,0,0,0
14,69.455,18.0,0.0,0.002,53.0,0.0,0.852,4.0,1.0,9.758,13.0,0,0,0
15,55.356,14.0,0.0,0.002,59.0,0.0,0.972,4.0,3.0,14.46,14.0,0,0,0
16,55.477,14.0,0.0,0.002,59.0,0.0,1.131,4.0,2.0,15.847,16.0,0,0,0
17,58.581,12.0,0.0,0.002,62.0,0.0,1.194,4.0,3.0,15.847,16.0,0,0,0
18,58.581,12.0,0.0,0.002,62.0,0.0,1.194,4.0,3.0,15.847,16.0,0,0,0
19,51.769,12.0,0.0,0.003,63.0,0.0,1.258,4.0,4.0,15.847,16.0,0,0,0
20,44.855,12.0,0.0,0.003,64.0,0.0,1.327,4.0,4.0,16.94,17.0,0,0,0
21,49.612,10.0,0.0,0.003,67.0,0.0,1.392,4.0,6.0,16.94,17.0,0,0,0
22,33.72,9.0,0.0,0.003,69.0,0.0,1.298,4.0,6.0,18.895,18.0,0,0,0
23,30.031,8.0,0.0,0.003,70.0,0.0,1.359,4.0,8.0,18.895,18.0,0,0,0
24,29.83,8.0,0.0,0.003,72.0,0.0,1.426,4.0,9.0,18.895,18.0,0,0,0
25,17.333,7.0,0.0,0.003,76.0,0.0,1.503,4.0,10.0,24.443,19.0,0,0,0
26,14.411,5.0,0.0,0.003,78.0,0.0,1.569,4.0,11.0,24.443,19.0,0,0,0
27,14.411,5.0,0.0,0.003,78.0,0.0,1.569,4.0,11.0,24.443,19.0,0,0,0
28,5.18,2.0,0.0,0.003,81.0,0.0,1.635,4.0,12.0,24.443,19.0,0,0,0
29,30.727,5.0,0.0,0.003,81.0,0.0,1.597,4.0,11.0,28.747,20.0,0,0,0
30,8.828,2.0,0.0,0.003,84.0,0.0,1.663,4.0,12.0,28.747,20.0,0,0,0
31,17.213,4.0,0.0,0.003,85.0,0.0,1.727,4.0,12.0,28.747,20.0,0,0,0
32,21.889,6.0,0.0,0.003,86.0,0.0,1.714,4.0,12.0,37.156,21.0,0,0,0
33,18.261,5.0,0.0,0.003,87.0,0.0,1.776,4.0,11.0,46.454,22.0,0,0,0
34,16.487,6.0,0.0,0.003,89.0,0.0,1.836,4.0,11.0,46.454,22.0,0,0,0
35,15.409,6.0,0.0,0.003,90.0,0.0,1.777,4.0,11.0,58.451,23.0,0,0,0
36,15.409,6.0,0.0,0.003,90.0,0.0,1.777,4.0,11.0,58.451,23.0,0,0,0
37,10.34,4.0,0.0,0.003,92.0,0.0,1.843,4.0,11.0,58.451,23.0,0,0,0
38,6.309,4.0,0.0,0.003,93.0,0.0,1.594,4.0,10.0,58.723,24.0,0,0,0
39,12.043,6.0,0.0,0.003,95.0,0.0,1.421,4.0,8.0,86.936,26.0,0,0,0
40,23.975,8.0,0.0,0.003,97.0,0.0,2.19,4.0,8.0,102.693,27.0,0,0,0
41,19.571,7.0,0.0,0.003,99.0,0.0,1.802,4.0,8.0,102.693,27.0,0,0,0
42,34.072,8.0,0.0,0.003,101.0,0.0,1.909,4.0,8.0,118.555,28.0,0,0,0
43,23.058,10.0,0.0,0.003,101.0,0.0,1.975,4.0,8.0,118.555,28.0,0,0,0
44,19.742,10.0,0.0,0.003,103.0,0.0,1.05,4.0,6.0,136.565,30.0,0,0,0
45,19.742,10.0,0.0,0.003,103.0,0.0,1.05,4.0,6.0,136.565,30.0,0,0,0
46,16.013,8.0,0.0,0.003,105.0,0.0,1.119,4.0,6.0,136.565,30.0,0,0,0
47,11.942,7.0,0.0,0.003,108.0,0.0,0.933,4.0,7.0,174.327,32.0,0,0,0
