t_s,orch_kv_pct,orch_running,orch_waiting,orch_queue_time_cum_s,orch_requests_done_cum,orch_preemptions_cum,worker_kv_pct,worker_running,worker_waiting,worker_queue_time_cum_s,worker_requests_done_cum,client_arrivals_cum,client_completions_cum,client_in_flight
0,13.655,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1,27.21,11.0,0.0,0.001,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2,23.259,21.0,0.0,0.001,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
3,18.946,27.0,0.0,0.119,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
4,17.696,21.0,0.0,0.12,28.0,0.0,0.491,4.0,2.0,0.0,0.0,0,0,0
5,20.034,21.0,0.0,0.12,28.0,0.0,0.532,4.0,1.0,0.0,1.0,0,0,0
6,20.669,18.0,0.0,0.12,31.0,0.0,0.538,4.0,5.0,0.0,3.0,0,0,0
7,11.559,5.0,0.0,0.12,44.0,0.0,0.54,4.0,16.0,4.095,8.0,0,0,0
8,26.635,4.0,0.0,0.12,46.0,0.0,0.519,4.0,13.0,13.431,15.0,0,0,0
9,26.635,4.0,0.0,0.12,46.0,0.0,0.519,4.0,13.0,13.431,15.0,0,0,0
10,36.249,4.0,0.0,0.12,48.0,0.0,0.6,4.0,10.0,22.778,20.0,0,0,0
11,49.572,7.0,3.0,0.12,48.0,0.0,0.586,4.0,7.0,36.255,26.0,0,0,0
12,59.055,9.0,1.0,0.12,48.0,0.0,0.673,4.0,3.0,46.692,30.0,0,0,0
13,70.674,12.0,3.0,0.12,48.0,0.0,0.691,4.0,2.0,52.114,32.0,0,0,0
14,70.674,12.0,3.0,0.12,48.0,0.0,0.714,4.0,2.0,54.979,33.0,0,0,0
15,81.246,13.0,7.0,0.12,48.0,0.0,0.776,4.0,2.0,54.979,33.0,0,0,0
16,88.985,15.0,6.0,0.12,48.0,0.0,0.851,4.0,1.0,57.777,34.0,0,0,0
17,80.711,16.0,5.0,0.12,48.0,0.0,0.873,4.0,0.0,63.742,36.0,0,0,0
18,80.711,16.0,5.0,0.12,48.0,0.0,0.873,4.0,0.0,63.742,36.0,0,0,0
19,68.104,15.0,7.0,0.12,49.0,0.0,0.939,4.0,0.0,63.742,36.0,0,0,0
20,98.932,16.0,6.0,0.12,49.0,0.0,1.005,4.0,0.0,63.742,36.0,0,0,0
21,97.39,18.0,4.0,0.12,49.0,0.0,1.067,4.0,0.0,63.742,36.0,0,0,0
22,72.075,16.0,4.0,1.623,52.0,0.0,0.951,3.0,0.0,67.244,37.0,0,0,0
23,54.026,12.0,4.0,3.144,56.0,0.0,1.1,4.0,2.0,70.364,38.0,0,0,0
24,81.175,12.0,4.0,5.965,57.0,0.0,1.27,4.0,1.0,71.738,40.0,0,0,0
25,81.175,12.0,4.0,5.965,57.0,0.0,1.336,4.0,1.0,71.738,40.0,0,0,0
26,81.175,12.0,4.0,5.965,57.0,0.0,1.402,4.0,1.0,71.738,40.0,0,0,0
27,81.175,12.0,4.0,5.965,57.0,0.0,1.402,4.0,1.0,71.738,40.0,0,0,0
28,82.132,16.0,0.0,5.965,57.0,0.0,1.469,4.0,1.0,71.738,40.0,0,0,0
29,82.132,16.0,0.0,5.965,57.0,0.0,1.295,4.0,0.0,76.313,42.0,0,0,0
30,82.132,16.0,0.0,5.965,57.0,0.0,1.361,4.0,0.0,76.313,42.0,0,0,0
31,84.118,18.0,0.0,5.965,57.0,0.0,1.428,4.0,0.0,76.313,42.0,0,0,0
32,86.778,19.0,0.0,5.965,57.0,0.0,1.007,3.0,0.0,76.313,43.0,0,0,0
33,86.778,19.0,0.0,5.965,57.0,0.0,0.435,1.0,0.0,82.263,45.0,0,0,0
34,70.846,19.0,0.0,10.727,60.0,0.0,0.584,2.0,0.0,82.263,45.0,0,0,0
35,74.181,15.0,0.0,30.385,66.0,0.0,0.742,3.0,0.0,82.263,45.0,0,0,0
36,74.181,15.0,0.0,30.385,66.0,0.0,0.742,3.0,0.0,82.263,45.0,0,0,0
37,56.142,13.0,0.0,33.188,70.0,0.0,0.861,4.0,1.0,82.263,45.0,0,0,0
38,42.789,10.0,0.0,39.015,73.0,0.0,0.929,4.0,2.0,82.263,45.0,0,0,0
39,28.62,8.0,0.0,50.662,77.0,0.0,0.998,4.0,8.0,82.263,45.0,0,0,0
40,11.982,5.0,0.0,59.686,80.0,0.0,1.066,4.0,11.0,82.263,45.0,0,0,0
41,5.301,2.0,0.0,59.686,83.0,0.0,1.074,4.0,14.0,82.263,46.0,0,0,0
42,4.575,1.0,0.0,59.686,86.0,0.0,0.858,3.0,15.0,82.263,48.0,0,0,0
43,9.594,4.0,0.0,59.686,87.0,0.0,1.093,4.0,14.0,82.263,48.0,0,0,0
44,11.488,5.0,0.0,59.686,88.0,0.0,1.161,4.0,14.0,82.263,48.0,0,0,0
45,10.612,5.0,0.0,59.686,91.0,0.0,1.161,4.0,14.0,82.263,48.0,0,0,0
46,10.612,5.0,0.0,59.686,91.0,0.0,1.103,4.0,15.0,86.616,49.0,0,0,0
47,5.422,3.0,0.0,59.687,94.0,0.0,1.17,4.0,17.0,86.616,49.0,0,0,0
48,4.434,1.0,0.0,59.687,96.0,0.0,1.251,4.0,18.0,93.895,50.0,0,0,0
49,5.19,2.0,0.0,59.687,97.0,0.0,1.317,4.0,18.0,93.895,50.0,0,0,0
50,4.434,1.0,0.0,59.687,98.0,0.0,1.383,4.0,19.0,93.895,50.0,0,0,0
51,4.454,1.0,0.0,59.687,98.0,0.0,1.446,4.0,19.0,93.895,50.0,0,0,0
52,4.464,1.0,0.0,59.687,98.0,0.0,1.512,4.0,19.0,93.895,50.0,0,0,0
53,0.0,0.0,0.0,59.687,99.0,0.0,1.738,4.0,19.0,103.364,51.0,0,0,0
54,4.414,1.0,0.0,59.687,100.0,0.0,1.804,4.0,19.0,103.364,51.0,0,0,0
55,4.414,1.0,0.0,59.687,100.0,0.0,1.804,4.0,19.0,103.364,51.0,0,0,0
56,4.424,1.0,0.0,59.687,100.0,0.0,1.87,4.0,19.0,103.364,51.0,0,0,0
57,8.969,2.0,0.0,59.687,100.0,0.0,1.909,4.0,18.0,118.098,52.0,0,0,0
58,9.332,3.0,0.0,59.687,102.0,0.0,1.975,4.0,19.0,118.098,52.0,0,0,0
59,4.938,2.0,0.0,59.687,103.0,0.0,1.688,4.0,19.0,135.943,53.0,0,0,0
60,9.755,3.0,0.0,59.687,103.0,0.0,1.754,4.0,19.0,135.943,53.0,0,0,0
61,8.999,2.0,0.0,59.687,106.0,0.0,1.55,4.0,19.0,155.878,55.0,0,0,0
62,5.583,4.0,0.0,59.687,108.0,0.0,1.615,4.0,19.0,155.878,55.0,0,0,0
63,6.157,4.0,0.0,59.687,108.0,0.0,1.684,4.0,19.0,155.878,55.0,0,0,0
64,6.157,4.0,0.0,59.687,108.0,0.0,1.684,4.0,19.0,155.878,55.0,0,0,0
65,5.835,3.0,0.0,59.687,109.0,0.0,1.749,4.0,20.0,155.878,55.0,0,0,0
66,4.464,1.0,0.0,59.687,111.0,0.0,1.812,4.0,22.0,155.878,55.0,0,0,0
67,0.0,0.0,0.0,59.687,112.0,0.0,1.877,4.0,23.0,155.878,55.0,0,0,0
68,4.575,1.0,0.0,59.687,112.0,0.0,1.61,4.0,22.0,159.778,56.0,0,0,0
