t_s,orch_kv_pct,orch_running,orch_waiting,orch_queue_time_cum_s,orch_requests_done_cum,orch_preemptions_cum,worker_kv_pct,worker_running,worker_waiting,worker_queue_time_cum_s,worker_requests_done_cum,client_arrivals_cum,client_completions_cum,client_in_flight
0,16.981,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1,20.135,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2,18.583,35.0,0.0,0.007,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
3,25.768,55.0,0.0,0.007,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
4,30.958,55.0,0.0,0.008,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
5,35.836,68.0,0.0,0.009,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
6,34.999,56.0,0.0,0.009,65.0,0.0,0.512,4.0,8.0,0.0,0.0,0,0,0
7,37.72,58.0,0.0,0.009,66.0,0.0,0.54,4.0,7.0,0.0,2.0,0,0,0
8,37.72,58.0,0.0,0.009,66.0,0.0,0.54,4.0,7.0,0.0,2.0,0,0,0
9,44.089,59.0,0.0,0.009,68.0,0.0,0.535,4.0,8.0,0.891,4.0,0,0,0
10,31.422,37.0,0.0,0.01,90.0,0.0,0.515,4.0,20.0,1.879,6.0,0,0,0
11,11.71,9.0,0.0,0.011,118.0,0.0,0.534,4.0,56.0,7.189,8.0,0,0,0
12,0.0,0.0,0.0,0.011,127.0,0.0,0.588,4.0,65.0,10.715,9.0,0,0,0
13,0.0,0.0,0.0,0.011,127.0,0.0,0.595,4.0,65.0,18.886,11.0,0,0,0
14,1.995,1.0,0.0,0.011,127.0,0.0,0.561,4.0,64.0,30.517,14.0,0,0,0
15,0.0,0.0,0.0,0.011,128.0,0.0,0.627,4.0,64.0,30.517,14.0,0,0,0
16,0.0,0.0,0.0,0.011,129.0,0.0,0.612,4.0,61.0,59.775,19.0,0,0,0
17,0.0,0.0,0.0,0.011,129.0,0.0,0.612,4.0,61.0,59.775,19.0,0,0,0
18,26.313,4.0,0.0,0.011,129.0,0.0,0.599,4.0,55.0,100.183,25.0,0,0,0
19,35.987,6.0,0.0,0.011,129.0,0.0,0.617,4.0,51.0,147.844,31.0,0,0,0
20,56.435,10.0,0.0,0.011,129.0,0.0,0.623,4.0,42.0,228.713,40.0,0,0,0
21,57.724,11.0,0.0,0.011,129.0,0.0,0.652,4.0,35.0,298.702,47.0,0,0,0
22,77.003,15.0,1.0,0.011,129.0,0.0,0.678,4.0,30.0,375.453,54.0,0,0,0
23,90.769,19.0,0.0,0.011,129.0,0.0,0.701,4.0,25.0,423.304,58.0,0,0,0
24,97.118,22.0,2.0,0.011,129.0,0.0,0.735,4.0,21.0,475.426,62.0,0,0,0
25,92.361,23.0,13.0,0.011,129.0,0.0,0.766,4.0,18.0,517.141,65.0,0,0,0
26,92.361,23.0,13.0,0.011,129.0,0.0,0.766,4.0,18.0,517.141,65.0,0,0,0
27,88.854,22.0,17.0,0.011,130.0,0.0,0.586,4.0,15.0,579.538,70.0,0,0,0
28,95.868,23.0,16.0,1.407,132.0,0.0,0.676,4.0,10.0,686.407,77.0,0,0,0
29,87.02,20.0,16.0,1.407,138.0,0.0,0.747,4.0,15.0,686.407,77.0,0,0,0
30,94.619,23.0,17.0,1.407,138.0,0.0,0.616,4.0,15.0,727.795,80.0,0,0,0
31,98.811,22.0,22.0,2.217,141.0,0.0,0.714,4.0,15.0,757.216,82.0,0,0,0
32,96.795,23.0,24.0,6.223,142.0,0.0,0.736,4.0,16.0,771.545,83.0,0,0,0
33,92.613,22.0,22.0,10.559,146.0,0.0,0.761,4.0,19.0,784.244,84.0,0,0,0
34,96.856,22.0,20.0,18.41,148.0,0.0,0.877,4.0,18.0,804.008,86.0,0,0,0
35,96.856,22.0,20.0,18.41,148.0,0.0,0.877,4.0,18.0,804.008,86.0,0,0,0
36,99.738,24.0,19.0,18.41,148.0,0.0,1.433,3.0,17.0,826.65,88.0,0,0,0
37,93.268,23.0,21.0,21.44,149.0,0.0,1.673,4.0,16.0,826.65,88.0,0,0,0
38,89.439,22.0,20.0,26.834,151.0,0.0,1.314,4.0,15.0,834.051,89.0,0,0,0
39,90.97,20.0,20.0,31.215,154.0,0.0,1.434,4.0,15.0,841.456,90.0,0,0,0
40,95.697,22.0,18.0,31.215,154.0,0.0,1.504,4.0,15.0,841.456,90.0,0,0,0
41,95.334,23.0,18.0,31.215,154.0,0.0,1.561,4.0,14.0,850.555,91.0,0,0,0
42,87.867,22.0,18.0,45.124,156.0,0.0,1.627,4.0,14.0,850.555,91.0,0,0,0
43,92.059,23.0,17.0,45.124,156.0,0.0,0.936,4.0,13.0,858.544,92.0,0,0,0
44,84.591,21.0,18.0,58.608,158.0,0.0,0.936,4.0,13.0,858.544,92.0,0,0,0
45,84.591,21.0,18.0,58.608,158.0,0.0,1.218,4.0,12.0,868.386,93.0,0,0,0
46,82.898,20.0,19.0,68.395,159.0,0.0,1.047,4.0,12.0,875.95,94.0,0,0,0
47,93.046,19.0,18.0,79.992,161.0,0.0,0.887,3.0,13.0,887.48,95.0,0,0,0
48,95.667,21.0,16.0,79.992,161.0,0.0,1.036,4.0,12.0,887.48,95.0,0,0,0
49,94.941,22.0,17.0,79.992,161.0,0.0,1.431,4.0,12.0,904.732,96.0,0,0,0
50,91.323,22.0,16.0,79.992,162.0,0.0,1.362,4.0,11.0,918.551,97.0,0,0,0
51,87.463,21.0,17.0,86.64,163.0,0.0,1.899,4.0,12.0,952.268,99.0,0,0,0
52,97.41,21.0,16.0,93.594,164.0,0.0,1.925,4.0,12.0,967.473,100.0,0,0,0
53,96.967,21.0,16.0,93.594,165.0,0.0,1.925,4.0,12.0,967.473,100.0,0,0,0
54,96.967,21.0,16.0,93.594,165.0,0.0,1.74,4.0,11.0,1004.728,102.0,0,0,0
55,94.991,23.0,15.0,93.594,165.0,0.0,1.747,4.0,10.0,1023.478,103.0,0,0,0
56,95.425,23.0,15.0,99.336,167.0,0.0,1.144,4.0,9.0,1042.971,104.0,0,0,0
57,92.119,25.0,12.0,121.634,169.0,0.0,1.238,4.0,8.0,1063.113,105.0,0,0,0
58,99.738,29.0,5.0,162.411,172.0,0.0,1.031,4.0,8.0,1101.271,107.0,0,0,0
59,93.016,34.0,0.0,162.411,172.0,0.0,1.098,4.0,9.0,1101.271,107.0,0,0,0
60,74.171,30.0,0.0,283.439,180.0,0.0,1.116,4.0,12.0,1134.465,109.0,0,0,0
61,77.084,25.0,0.0,317.338,187.0,0.0,1.183,4.0,12.0,1134.465,109.0,0,0,0
62,77.084,25.0,0.0,317.338,187.0,0.0,1.183,4.0,12.0,1134.465,109.0,0,0,0
63,65.021,24.0,0.0,321.714,188.0,0.0,1.16,4.0,10.0,1167.723,111.0,0,0,0
64,83.241,25.0,0.0,352.688,190.0,0.0,1.226,4.0,11.0,1167.723,111.0,0,0,0
65,71.158,31.0,0.0,377.28,193.0,0.0,1.293,4.0,12.0,1167.723,111.0,0,0,0
66,59.609,30.0,0.0,425.177,199.0,0.0,1.355,4.0,17.0,1167.723,111.0,0,0,0
67,52.182,30.0,0.0,435.726,202.0,0.0,1.323,4.0,17.0,1178.593,112.0,0,0,0
68,46.76,27.0,0.0,494.466,207.0,0.0,1.388,4.0,19.0,1178.593,112.0,0,0,0
69,36.441,30.0,0.0,537.432,212.0,0.0,1.178,4.0,21.0,1189.07,113.0,0,0,0
70,38.255,29.0,0.0,537.432,215.0,0.0,1.072,4.0,22.0,1200.313,114.0,0,0,0
71,38.255,29.0,0.0,537.432,215.0,0.0,1.072,4.0,22.0,1200.313,114.0,0,0,0
72,26.947,24.0,0.0,564.758,220.0,0.0,1.138,4.0,24.0,1200.313,114.0,0,0,0
73,24.005,24.0,0.0,580.685,221.0,0.0,1.054,4.0,24.0,1231.366,116.0,0,0,0
74,28.348,27.0,0.0,580.685,223.0,0.0,1.393,4.0,23.0,1243.737,117.0,0,0,0
75,27.955,24.0,0.0,580.685,227.0,0.0,1.457,4.0,25.0,1243.737,117.0,0,0,0
76,7.76,7.0,0.0,580.686,247.0,0.0,1.505,4.0,43.0,1257.909,118.0,0,0,0
77,6.823,5.0,0.0,580.686,250.0,0.0,1.574,4.0,47.0,1257.909,118.0,0,0,0
78,7.498,5.0,0.0,580.686,250.0,0.0,1.641,4.0,48.0,1257.909,118.0,0,0,0
79,4.454,1.0,0.0,580.686,254.0,0.0,1.65,4.0,51.0,1273.674,119.0,0,0,0
80,4.454,1.0,0.0,580.686,254.0,0.0,1.65,4.0,51.0,1273.674,119.0,0,0,0
81,8.989,2.0,0.0,580.686,256.0,0.0,1.713,4.0,52.0,1273.674,119.0,0,0,0
82,9.433,3.0,0.0,580.686,257.0,0.0,1.459,4.0,50.0,1307.948,121.0,0,0,0
