question_id,round,arm,position,status,valid,duration_ms,law_ids,search_workflows,search_node_elapsed_ms,dependency_ready_ms,ready_wait_ms,run_ms,join_wait_ms,overlap_before_join_ms,read_status
l1-001-jp,1,barrier,1,ok,1,18576.1,5,1,1063.378,7.857,958.066,96.28,96.323,0.0,ok
l1-002-jp,1,barrier,1,ok,1,12654.516,2,1,1009.237,8.113,896.247,103.44,104.552,0.0,ok
l1-003-jp,1,barrier,1,ok,1,30032.194,1,1,1122.09,6.269,1000.074,114.308,114.666,0.0,ok
l1-005-jp,1,barrier,1,ok,1,23365.68,4,1,684.066,6.812,671.756,4.77,4.812,0.0,ok
l1-010-us,1,barrier,1,ok,1,31527.6,2,1,821.351,6.259,720.159,93.159,93.203,0.0,ok
l1-012-cn,1,barrier,1,ok,1,17335.496,2,1,1009.052,7.087,906.162,94.632,94.674,0.0,ok
l1-013-cn,1,barrier,1,ok,1,28855.817,1,1,933.633,9.018,826.638,96.783,96.998,0.0,ok
l1-018-de,1,barrier,1,ok,1,28288.425,5,1,1977.468,6.873,1872.635,94.833,95.522,0.0,ok
l1-019-de,1,barrier,1,ok,1,21594.741,1,1,966.343,8.362,844.938,110.557,110.605,0.0,ok
l1-023-fr,1,barrier,1,ok,1,51704.186,1,1,887.391,5.867,759.909,116.545,116.598,0.0,ok
l1-024-fr,1,barrier,1,ok,1,31176.769,3,1,2010.566,7.598,1869.12,121.192,129.028,0.0,ok
l1-025-fr,1,barrier,1,ok,1,40209.504,4,1,912.924,6.014,814.104,88.352,88.425,0.0,ok
l1-027-uk,1,barrier,1,ok,1,17129.849,2,1,851.717,9.231,746.322,95.041,95.108,0.0,ok
l1-031-ca,1,barrier,1,ok,1,22647.233,4,1,812.107,6.287,713.624,90.837,90.877,0.0,ok
l1-032-ca,1,barrier,1,ok,1,43783.91,1,1,966.779,6.858,846.776,112.468,112.506,0.0,ok
l1-033-ca,1,barrier,1,ok,1,16833.431,3,1,820.988,7.668,717.725,94.509,94.554,0.0,ok
l1-035-ca,1,barrier,1,ok,1,17824.051,1,1,1070.589,7.64,966.274,95.369,95.444,0.0,ok
l1-036-au,1,barrier,1,ok,1,17648.705,5,1,832.292,6.93,728.848,93.788,93.83,0.0,ok
l1-037-au,1,barrier,1,ok,1,29680.812,2,1,786.85,6.516,689.266,89.988,90.032,0.0,ok
l1-038-au,1,barrier,1,ok,1,25241.889,5,1,882.856,6.421,806.342,66.781,67.087,0.0,ok
l1-039-au,1,barrier,1,ok,1,15311.83,1,1,919.392,6.708,814.904,96.339,96.377,0.0,ok
l1-040-au,1,barrier,1,ok,1,21732.076,3,1,993.474,8.0,893.851,89.154,89.214,0.0,ok
l1-041-sg,1,barrier,1,ok,1,25040.507,1,1,994.001,6.595,890.561,90.78,90.831,0.0,ok
l1-042-sg,1,barrier,1,ok,1,30052.176,2,1,1701.761,8.037,1595.609,90.412,91.04,0.0,ok
l1-044-sg,1,barrier,1,ok,1,26212.603,3,1,1287.696,6.34,1187.187,89.155,89.455,0.0,ok
l1-046-vn,1,barrier,1,ok,1,21512.244,1,1,888.601,5.767,878.044,4.225,4.262,0.0,ok
l1-049-vn,1,barrier,1,ok,1,24027.536,2,1,845.982,6.441,826.528,11.222,15.598,0.0,ok
l1-050-vn,1,barrier,1,ok,1,35367.136,4,1,919.92,6.114,906.755,5.287,5.339,0.0,ok
l1-051-th,1,barrier,1,ok,1,19329.794,1,1,786.164,5.819,688.285,90.963,91.006,0.0,ok
l1-052-th,1,barrier,1,ok,1,54680.061,1,1,1036.723,7.817,931.909,95.112,95.228,0.0,ok
l1-053-th,1,barrier,1,ok,1,54727.058,1,1,809.947,6.623,710.592,90.836,91.141,0.0,ok
l1-054-th,1,barrier,1,ok,1,17254.994,2,1,934.044,6.738,918.888,6.99,7.238,0.0,ok
l1-055-th,1,barrier,1,ok,1,18548.155,2,1,881.496,5.977,781.986,92.269,92.488,0.0,ok
l1-059-id,1,barrier,1,ok,1,24450.018,1,1,1208.472,6.834,1105.162,94.951,95.0,0.0,ok
l1-060-id,1,barrier,1,ok,1,15537.08,3,1,1661.101,7.727,1542.371,110.002,110.319,0.0,ok
l1-062-my,1,barrier,1,ok,1,13709.417,1,1,1038.299,6.286,937.461,93.13,93.574,0.0,ok
l1-065-my,1,barrier,1,ok,1,28061.447,3,1,1074.007,8.487,974.441,89.9,89.943,0.0,ok
l1-068-ph,1,barrier,1,ok,1,43740.428,1,1,960.964,6.95,832.357,120.011,120.056,0.0,ok
l1-070-ph,1,barrier,1,ok,1,17728.068,3,1,859.155,6.074,734.897,115.835,115.876,0.0,ok
l1-075-in,1,barrier,1,ok,1,23145.004,1,1,1260.429,8.057,1157.603,93.191,93.478,0.0,ok
l1-078-br,1,barrier,1,ok,1,14490.911,1,1,1124.55,6.101,1003.233,114.347,114.391,0.0,ok
l1-081-es,1,barrier,1,ok,1,17753.714,3,1,1009.535,5.765,787.439,214.157,214.197,0.0,ok
l1-082-es,1,barrier,1,ok,1,33563.86,5,1,1127.477,7.609,853.804,259.793,260.738,0.0,ok
l1-085-es,1,barrier,1,ok,1,13662.214,1,1,972.524,10.092,819.047,139.38,139.571,0.0,ok
l1-091-nl,1,barrier,1,ok,1,5659.005,0,0,,,,,,,
l1-092-nl,1,barrier,1,ok,1,9839.472,0,0,,,,,,,
l1-094-nl,1,barrier,1,ok,1,4928.347,0,0,,,,,,,
l1-095-nl,1,barrier,1,ok,1,10511.974,0,0,,,,,,,
l1-097-nz,1,barrier,1,ok,1,18373.608,3,1,1079.845,5.824,855.417,215.41,215.452,0.0,ok
l1-098-nz,1,barrier,1,ok,1,16960.161,1,1,1368.153,5.89,1246.5,114.323,114.366,0.0,ok
l2-001-jp-data-rights,1,barrier,1,ok,1,21288.948,1,1,1386.64,8.019,1010.605,366.726,366.941,0.0,ok
l2-002-jp-breach,1,barrier,1,ok,1,23707.125,3,1,1391.378,7.779,1165.865,215.454,216.601,0.0,ok
l2-003-jp-transfer,1,barrier,1,ok,1,18397.079,2,1,1385.871,7.96,1037.633,338.472,338.511,0.0,ok
l2-010-us-worker,1,barrier,1,ok,1,32162.414,2,1,1162.948,6.92,980.914,173.198,173.238,0.0,ok
l2-013-cn-transfer,1,barrier,1,ok,1,12635.595,1,1,1389.842,13.689,908.646,193.06,193.101,0.0,ok
l2-017-de-breach,1,barrier,1,ok,1,11856.455,2,1,1189.789,8.946,962.4,215.628,215.844,0.0,ok
l2-022-fr-breach,1,barrier,1,ok,1,16070.617,2,1,1447.523,7.642,1227.127,208.343,208.388,0.0,ok
l2-024-fr-consumer,1,barrier,1,ok,1,15642.205,3,1,1206.721,6.331,1006.69,188.716,188.759,0.0,ok
l2-026-uk-data-rights,1,barrier,1,ok,1,19914.282,3,1,1357.039,8.118,991.299,356.764,356.81,0.0,ok
l2-029-uk-consumer,1,barrier,1,ok,1,16253.632,2,1,1182.578,7.915,978.601,194.035,194.444,0.0,ok
l2-034-ca-consumer,1,barrier,1,ok,1,13708.372,1,1,1213.822,6.415,1017.754,188.762,188.804,0.0,ok
l2-035-ca-worker,1,barrier,1,ok,1,12655.88,2,1,1157.821,7.484,981.827,166.919,166.962,0.0,ok
l2-036-au-data-rights,1,barrier,1,ok,1,22458.194,2,1,1226.03,8.137,995.305,220.954,221.122,0.0,ok
l2-038-au-transfer,1,barrier,1,ok,1,14871.398,2,1,1297.871,6.65,959.989,329.049,329.094,0.0,ok
l2-039-au-consumer,1,barrier,1,ok,1,11455.103,3,1,1177.949,9.378,978.379,188.837,189.121,0.0,ok
l2-040-au-worker,1,barrier,1,ok,1,11975.488,2,1,1067.314,7.911,891.254,167.159,167.408,0.0,ok
l2-045-sg-worker,1,barrier,1,ok,1,10944.506,1,1,1243.635,8.175,1067.961,166.003,166.046,0.0,ok
l2-046-vn-data-rights,1,barrier,1,ok,1,17542.023,2,1,1379.969,10.6,1133.568,234.149,234.204,0.0,ok
l2-047-vn-breach,1,barrier,1,ok,1,15270.178,5,1,1086.857,6.633,868.216,210.389,210.439,0.0,ok
l2-051-th-data-rights,1,barrier,1,ok,1,23733.085,1,1,1151.356,6.148,926.927,216.945,216.986,0.0,ok
l2-052-th-breach,1,barrier,1,ok,1,12776.47,2,1,1193.827,8.322,962.5,221.799,221.896,0.0,ok
l2-053-th-transfer,1,barrier,1,ok,1,14724.715,1,1,1320.551,7.958,963.967,338.664,338.917,0.0,ok
l2-054-th-consumer,1,barrier,1,ok,1,14578.454,2,1,1168.464,6.944,968.305,192.231,192.543,0.0,ok
l2-055-th-worker,1,barrier,1,ok,1,16608.274,4,1,1137.796,6.195,950.802,179.483,179.6,0.0,ok
l2-056-id-data-rights,1,barrier,1,ok,1,15773.185,1,1,1462.737,6.324,1234.241,220.88,220.923,0.0,ok
l2-057-id-breach,1,barrier,1,ok,1,12136.088,2,1,1407.386,8.38,1182.993,214.874,214.923,0.0,ok
